구별,소계,최근 증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV 비율,오차
강남구,5221,52.17137860682017,549043,544028,5015,70029,0.9134075108871255,12.75473869988325,0.950927340845799,2577.112547074971
송파구,1586,62.83367556468173,684338,677489,6849,86062,1.0008212316136178,12.575949311597483,0.23175682192133126,1445.6269132350744
관악구,3985,99.1504247876062,519953,502117,17836,74518,3.430310047254271,14.331679978767312,0.7664154260096586,1424.4810448052585
도봉구,858,66.60194174757281,337594,335280,2314,58070,0.6854387222521727,17.20113509126347,0.25415143634069326,1179.8996400487308
강서구,1617,77.88778877887789,600240,593708,6532,82937,1.08823137411702,13.817306410769026,0.2693922431027589,1173.6119966959986
중랑구,1068,,403776,398812,4964,64449,1.2293945157711206,15.961572753209701,0.2645030908226343,1159.5694206188882
구로구,3227,72.10666666666667,439850,406748,33102,64952,7.5257474138911,14.766852336023645,0.733659202000682,896.0467640795518
성동구,2679,114.14868105515588,311290,303158,8132,43662,2.612355038709885,14.026149249895594,0.8606122907899386,716.4845113537262
강북구,1265,83.06801736613603,317875,314090,3785,59808,1.1907196224931182,18.81494298073142,0.39795517105780576,716.3873194319026
노원구,1906,42.026825633383005,539829,535282,4547,79968,0.8423037665631153,14.81357985584324,0.35307476997345455,711.4812192334903
성북구,3003,78.00829875518673,454114,441590,12524,70204,2.7578977965885216,15.459554208855044,0.66128769427941,631.1678279631951
광진구,1581,111.93029490616621,368337,352692,15645,47347,4.247469029720066,12.854261179300478,0.4292264963878188,545.0054401766865
서초구,2835,54.07608695652174,435258,431027,4231,56455,0.9720671417871699,12.970468090190185,0.651337827219718,517.206892700297
은평구,2962,43.091787439613526,486159,481663,4496,79957,0.9248003225282263,16.44667691022896,0.609265692911167,498.33064990313824
동작구,1780,79.25478348439073,410487,397618,12869,61607,3.1350566522204115,15.008270663869988,0.43363127212311225,466.80235249472025
강동구,1879,82.96007789678676,430522,426219,4303,61710,0.999484346909101,14.333762269988526,0.43644691792753915,425.2202917187251
양천구,2775,90.19876627827279,463931,459849,4082,60487,0.8798722223778968,13.03793020944925,0.5981492937527348,375.033467625683
용산구,2063,12.058663769690385,244989,228830,16159,38531,6.595806342325574,15.72764491466964,0.8420786239382176,290.49533184240863
영등포구,2495,139.44337811900192,402478,368402,34076,57350,8.46654972445699,14.249226044653373,0.619909659658416,271.1504937865402
마포구,1935,91.77403369672945,385605,373629,11976,51961,3.1057688567316295,13.475188340400152,0.5018088458396546,240.49348482455844
금천구,1634,112.48374512353708,252868,233371,19497,37191,7.71034690035908,14.707673568818514,0.6461869433854818,161.08494982197544
서대문구,2121,71.7408906882591,324089,310069,14020,51708,4.325972186652431,15.954876592540938,0.6544498579094015,121.80409188140084
동대문구,2003,,363779,346551,17228,58764,4.735842365832003,16.15376368619409,0.5506090236104888,109.94275153266244
중구,1544,145.4689984101749,136663,126409,10254,23025,7.503128132705999,16.84801299547061,1.1297864089036536,81.94482944059018
종로구,1471,56.323060573857596,162860,151767,11093,27394,6.81137173032052,16.820582095050966,0.9032297678988088,66.13267262336103
